Obsid,Bleach the Movie: Hell Verse,7
Obsid,Bleach the Movie: Memories of Nobody,7
Obsid,Bleach the Movie: The DiamondDust Rebellion,8
Obsid,Bleach: Memories in the Rain,7
Obsid,Bleach: The Sealed Sword Frenzy,8
Obsid,Blood Lad,7
Obsid,Blood+,7
Obsid,Blue Exorcist,6
Obsid,Blue Gender,9
Obsid,Boku wa Imouto ni Koi wo Suru,7
Obsid,Brave 10,6
Obsid,Brighter Than the Dawning Blue,7
Obsid,Bungo Stray Dogs,7
Obsid,Bungo Stray Dogs 2,7
Obsid,Buso Renkin,8
